Instrument,Date_CellName,Lot No
r54016,20180203_020346/1_A01/m54016_180203_021152,322031
r54016,20180206_231844/3_C01/m54016_180207_194307,322161
r54016,20180206_231844/5_E01/m54016_180208_160224,322049
r54016,20180130_005716/5_E01/m54016_180131_174130,322163
r54016,20180203_020346/3_C01/m54016_180203_222801,322163
r54016,20180209_221555/3_C01/m54016_180210_184028,322163
r54016,20180130_005716/3_C01/m54016_180130_212214,322031
r54016,20180209_221555/6_F01/m54016_180212_010914,322161
r54016,20180206_231844/1_A01/m54016_180206_232637,322161
r54015,20180203_023830/6_F01/m54015_180205_053305,322163
r54015,20180203_023830/2_B01/m54015_180203_125321,322161
r54015,20180206_234535/4_D01/m54015_180208_062109,322161
r54016,20180130_005716/1_A01/m54016_180130_010615,322031
r54015,20180206_234535/6_F01/m54015_180209_024054,322163
r54016,20180209_221555/1_A01/m54016_180209_222348,322163
r54015,20180203_023830/4_D01/m54015_180204_091322,322163
r54016,20180203_020346/5_E01/m54016_180204_184656,322163
